Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Alberto Giacometti,La forêt,05.07.2002,13209500,58.4 cm,Impressionist and Modern Art (Evening Sale)                 ,7000000.0,1,0,1,bronze,other techniques,1950,https://www.christies.com/img/LotImages/2002/NYR/2002_NYR_01075_0034_000().jpg,-,0,0,251
Claude Monet,Antibes vue de la salis,02.03.2015,13207752,-,-,5000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pierre-Auguste Renoir,La Liseuse,05.07.2001,13202500,28 x 18.1 cm,-,300000.0,0,0,0,canvas,oil only,-,-,-,0.0507,0,1157
,Abstraktes Bild,02.13.2013,13202115,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
George Stubbs,Tygers at play,07.09.2014,13185991,101.5 x 127 cm,-,4000000.0,0,0,0,other,other techniques,-,-,-,1.2891,0,2881
Pablo Picasso,Buste de femme,11.07.2012,13074500,-,-,12000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Andy Warhol,Mercedes-Benz W 196 R Grand Prix Car,11.12.2013,13045000,407.6 x 457.5 cm,Post-War and Contemporary Evening Sale,12000000.0,0,0,1,canvas,other techniques,1987,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0061_000(andy_warhol_mercedes-benz_w_196_r_grand_prix_car_1954).jpg,-,18.6477,0,77
Alberto Giacometti,La place,05.07.2014,13045000,62.2 cm,-,12000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2471
Claude Monet,L′entrée de Giverny en hiver,02.08.2012,13009550,65.5 x 85.5cm,-,4500000.0,0,0,0,canvas,oil only,-,-,-,0.5567,0,1473
René Magritte,Le beau monde,02.05.2014,12920013,100 x 81cm,-,4000000.0,0,0,0,canvas,oil only,-,-,-,0.08,0,2269
Pablo Picasso,"Tête de femme, Jacqueline",02.02.2010,12916526,-,-,15000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Henri Matisse,Figure décorative,11.07.2006,12896000,-,-,9000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
,Abstraktes Bild,02.12.2013,12846624,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Jean-Michel Basquiat,Palm Springs Jump,02.06.2008,12838157,183 x 213.5cm,Post-War and Contemporary Art  Evening Sale,-,1,0,1,canvas,oil only,1982,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07565_0009_000().jpg,-,3.8979,0,96
Bernardo Bellotto,Rome: The Forum with the Temple of Castor and Pollux; and The Temple of Antoninus and Faustina in the Forum ,12.07.2006,12814831,61.9 x 96.8 cm,Important Old Master Pictures   Evening Sale,3660000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07294_0072_000().jpg,-,0.5992,0,996
Lucio Fontana,"Concetto spaziale, attese",02.10.2015,12768454,-,-,65000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Alberto Giacometti,Femme de Venise IVREPEAT SALE,05.06.2014,12709000,115.5 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,10000000.0,1,0,1,"bronze, patina",other techniques,1956,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0033_000(alberto_giacometti_femme_de_venise_iv).jpg,-,0,0,173
Constantin Brancusi,Prométhée,05.02.2012,12682500,17.7 cm,-,6000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2306
Joan Miró,Portrait de Mme K.,11.06.2001,12656000,116.5 x 91 cm,THE COLLECTION OF RENE GAFFE   THE ESTATE OF MME RENE GAFFE,4000000.0,1,0,1,canvas,other techniques,1924,https://www.christies.com/img/LotImages/2001/NYR/2001_NYR_09854_0014_000().jpg,-,1.0601,0,75
Henri Matisse,Figure decorative,05.10.2001,12655750,-,-,9000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Paul Cézanne,Les toits de l′Estaque,05.12.1997,12652500,60.2 x 73 cm,The John & Frances L. Loeb Collection,8000000.0,0,0,1,canvas,oil only,1883,-,-,0.4395,0,582
Joan Miró,Le serpent à coquelicots traînant sur un champ de violettes peuplé par des lézards en deuilREPEAT SALE,05.06.2014,12485000,105 x 75 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,12000000.0,1,0,1,board,oil and others,1947,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0034_000(joan_miro_le_serpent_a_coquelicots_trainant_sur_un_champ_de_violettes).jpg,-,0.7875,0,275
Thomas Moran,The Grand Canyon of the ColoradoREPEAT SALE,05.22.2014,12485000,75 x 152.4 cm,American Art,8000000.0,1,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02851_0018_000(thomas_moran_the_grand_canyon_of_the_colorado).jpg,-,1.143,0,326
Edgar Degas,La Sortie du bain,06.19.2006,12454874,-,-,908.0,0,0,0,other,other techniques,-,-,-,0,0,0
Amedeo Modigliani,Nu assis au collier,05.10.1995,12432500,91.5 x 59.7 cm,Import Modern Works O Art from Coll of Mr & Mrs Ralph Colin,7000000.0,1,0,1,canvas,oil only,1917,-,-,0.5463,0,230
Willem de Kooning,Untitled VI,05.10.2012,12402500,72.4 cm,-,60000.0,0,0,0,board,oil only,-,-,-,0,0,185
,Kegel,11.15.2012,12402500,159 x 88mm,-,300.0,0,0,0,other,other techniques,-,-,-,0.1272,0,60
Egon Schiele,Liebespaar,02.05.2013,12390113,47.4 x 30.5cm,-,6500000.0,0,0,0,paper,other techniques,-,-,-,0.1422,0,2891
Paul Gauguin,Nature morte aux fruits et piments,11.06.2007,12361000,31.7 x 66 cm,Impressionist and Modern Art Evening Sale,10000000.0,1,0,0,canvas,oil only,1892,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0015_000().jpg,-,0.2092,0,322
Pablo Picasso,"Partition, Guitare, CompotierREPEAT SALE",05.06.2008,12361000,97.1 x 130.1 cm,Impressionist And Modern Art  Evening Sale,12000000.0,1,0,0,canvas,oil only,1924,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0042_000().jpg,-,1.2633,0,314
Fernand Léger,Les maisons dans les arbres,02.06.2007,12346792,65 x 81 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.5265,0,1301
Pierre-Auguste Renoir,Femmes dans un jardin,11.07.2007,12249000,31 x 39 cm,-,150000.0,0,0,0,canvas,oil only,-,-,-,0.1209,0,494
Edgar Degas,"Après le bain, femme s�essuyant",02.05.2013,12214038,-,-,600000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Mark Rothko,Untitled,05.14.2014,12205000,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Pablo Picasso,Femme au béret orange et au col de fourrure,11.05.2013,12149000,61.1 x 46 cm,Impressionist & Modern Evening Sale,8000000.0,0,1,1,canvas,oil only,1937,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02788_0005_000(pablo_picasso_femme_au_beret_orange_et_au_col_de_fourrure).jpg,-,0.2811,0,185
Zhang Xiaogang,Bloodline: Big family no. 3,04.05.2014,12144809,190 x 150 cm,-,16000000.0,0,0,0,canvas,oil only,-,-,-,2.85,0,1348
Claude Monet,Champ de blé,11.08.2012,12122500,7. x 82 cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,0.0574,0,2777
Claude Monet,"La Cathédrale de Rouen, effet d′après-midi",06.26.1995,12107656,106 x 73cm,"Impressionist & Modern Paintings,Watercolours & Sculpture PI",-,1,0,1,canvas,oil only,1892,-,-,0.0742,0,288
Pablo Picasso,Garçon à la collerette,11.07.1995,12102500,76.6 x 65.5 cm,"Impressionist & Modern Paintings, Drawings & Sculpt., Part I",-,1,0,1,board,other techniques,1905,-,-,0.5017,0,235
Claude Monet,Le Grand Canal,05.13.1998,12102500,73 x 92 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,0.6716,0,2462
Claude Monet,Le bassin aux nymphéas,11.11.1992,12100000,-,-,4000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Mark Rothko,Untitled,11.14.2007,12081000,28.3 x 40.6 cm,Abstract Expressionism,200000.0,0,0,0,paper,other techniques,-,https://uploads1.wikiart.org/images/mark-rothko/not_detected_242115.jpg,abstract,0.1149,0,1331
Jean-Michel Basquiat,Untitled,11.12.2013,12037000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Pablo Picasso,Mère et enfant,05.11.1995,11992500,16.8 x 10.2cm,-,20000.0,0,0,0,other,other techniques,-,-,-,0.0168,0,971
Claude Monet,Meule,05.11.1999,11992500,-,-,3000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Peter Doig,The Architect′s Home in the Ravine,02.13.2013,11975939,-,-,120000.0,0,0,0,other,other techniques,-,-,-,0,0,0
,Wolke,02.12.2013,11965128,110 x 240.3cm,-,20000.0,0,0,0,canvas,oil only,-,-,-,2.64,0,122
Peter Doig,Road House,05.12.2014,11925000,193 x 248.9 cm,If I Live I'll See You Tuesday: Contemporary Art Auction,9500000.0,0,0,0,canvas,oil only,1991,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_03495_0031_000(peter_doig_road_house).jpg,-,4.8038,0,94
Joan Mitchell,Untitled,05.13.2014,11925000,61 x 44.5 cm,Abstract Expressionism,120000.0,0,0,0,other,other techniques,-,https://uploads7.wikiart.org/images/joan-mitchell/untitled-1951.jpg!Large.jpg,abstract,0.2715,0,792
Auguste Rodin,Le Penseur. Taille de la Porte dit Moyen modèle,05.05.2010,11842500,71.2 cm,-,4000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2228
Roy Lichtenstein,Sailboats III,05.09.2012,11842500,177.8 x 203.3 cm,-,6000000.0,0,0,0,canvas,oil and others,-,-,-,3.6147,0,1382
Pablo Picasso,Homme à la pipe,11.07.2007,11801000,195.5 x 96.5 cm,-,-,0,0,0,canvas,oil only,-,-,-,1.8866,0,1482
Jean-Michel Basquiat,Untitled,11.14.2007,11801000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Andy Warhol,Small Torn Campbell′s Soup Can,05.09.2006,11776000,50.9 x 40.7 cm,Post War and Contemporary Evening Sale,10000000.0,1,0,1,linen,other techniques,1962,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01658_0034_000().jpg,-,0.2072,0,146
Pablo Picasso,Nu accroupi,05.06.2004,11768000,146 x 114 cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,1.6644,0,2270
Chaïm Soutine,Le valet de chambre,06.22.2010,11693411,109.2 x 63.5cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.688,0,3224
Georges Seurat,"étude pour une baignade, Asnières",02.03.2015,11690208,32.4 x 24.1cm,-,5000000.0,0,0,0,other,other techniques,-,-,-,0.0778,0,1656
Jan Brueghel the Elder,The Garden of Eden with the fall of man,07.09.2014,11651322,23.7 x 36.8 cm,-,2000000.0,0,0,0,other,oil only,-,-,-,0.0872,0,2128
Andy Warhol,Brigitte Bardot,11.11.2014,11645000,120.6 x 120 cm,Pop Art,10000000.0,0,0,0,canvas,other techniques,-,https://uploads7.wikiart.org/00283/images/andy-warhol/brigitte-bardot-1974.jpg!Large.jpg,portrait,1.4472,0,1939
Tang Yin,Landscape,06.03.2013,11622978,181cm,-,3000.0,0,0,0,other,other techniques,-,-,-,0,0,0
,Abstraktes Bild,02.15.2011,11595358,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Domenico Gnoli,Black Hair,02.13.2014,11594428,170 x 150cm,Post-War and Contemporary Art Evening Auction,1464000.0,1,0,1,canvas,other techniques,1969,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01510_0019_000(domenico_gnoli_black_hair).jpg,figurative,0.255,0,152
Ernst Ludwig Kirchner,Das boskett: Albertplatz in Dresden,02.08.2012,11591003,120 x 151cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,0.18,1,2999
Pierre Bonnard,Terrasse à Vernon,02.09.2011,11590311,120 x 105 cm,Impressionist/Modern Evening Sale,3660000.0,1,0,1,canvas,oil only,1923,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07951_0010_000(pierre_bonnard_terrasse_a_vernon).jpg,-,1.26,0,222
Henri Matisse,L′artiste et le modèle nu,06.24.2014,11579896,60 x 73 cm,Impressionist/Modern Evening Sale,8540000.0,1,0,1,canvas,oil only,1921,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0007_000(henri_matisse_lartiste_et_le_modele_nu).jpg,-,0.438,0,391
,Portrait d′Alfred et Elisabeth Dedreux,02.23.2009,11576368,99.2 x 79.4 cm,Collection Yves Saint Laurent et Pierre Bergé,4320000.0,0,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0083_000().jpg,-,0.7876,0,401
Pablo Picasso,Homme à lépée,06.24.2009,11524964,146 x 114cm,-,6000000.0,0,0,0,board,oil only,-,-,-,0.1606,0,1481
Pablo Picasso,Nu accroupi,02.06.2013,11516326,20.5 x 20.5cm,-,18000.0,0,0,0,other,other techniques,-,-,-,0.041,0,52
Giacomo Balla,Automobile in Corsa,11.06.2013,11477000,74 x 104 cm,-,12000000.0,0,0,0,"paper, board",oil and others,-,-,-,0.7696,0,2532
Marc Chagall,Le violoncelliste,02.05.2014,11458816,101 x 74cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,0.0707,0,2884
Leonardo da Vinci,Horse and rider,07.10.2001,11458773,120 x 78 mm,Old Master Drawings incl.Leonardo da Vinci's Horse and Rider,-,0,0,1,paper,other techniques,-,https://www.christies.com/img/LotImages/2001/CKS/2001_CKS_06475_0030_000().jpg,-,0.936,0,332
Andrea del Sarto,"Head of Saint Joseph looking down, with a subsidiary study of his features",07.05.2005,11436610,373 x 225 mm,Old Master and 19th Century Drawings including Andrea del   ,-,0,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2005/CKS/2005_CKS_07066_0014_000().jpg,-,8.3925,0,824
Amedeo Modigliani,Les deux fillesREPEAT SALE,02.04.2015,11431338,100 x 65.1 cm,Impressionist/Modern Evening Sale,7320000.0,0,0,1,canvas,oil only,1918,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10378_0015_000(amedeo_modigliani_les_deux_filles).jpg,-,0.651,0,215
Pierre-Auguste Renoir,Jeunes filles jouant au volant,05.06.2014,11365000,54.6 x 65.2 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,10000000.0,1,0,1,canvas,oil only,1887,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0010_000(pierre-auguste_renoir_jeunes_filles_jouant_au_volant).jpg,-,0.356,0,374
Jackson Pollock,"Number 5, 1951 Elegant Lady"";1951""",05.13.2014,11365000,147.3 x 140.9 cm,Post-War and Contemporary Evening Sale,12000000.0,1,0,1,canvas,oil only,1951,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0030_000(jackson_pollock_number_5_1951_elegant_lady).jpg,-,2.0755,0,225
Pablo Picasso,Homme assis,11.04.2014,11365000,130 x 97 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,1.261,0,1501
Andy Warhol,Five Deaths on Orange,11.12.2014,11365000,76.6 x 76.6 cm,Post-War & Contemporary Art Evening Sale,8000000.0,0,0,1,linen,other techniques,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0026_000(andy_warhol_five_deaths_on_orange).jpg,-,0.5868,0,135
Robert Ryman,Link,11.12.2014,11365000,193 x 182.9 cm,Post-War & Contemporary Art Evening Sale,8000000.0,1,0,0,other,other techniques,2002,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0034_000(robert_ryman_link).jpg,-,3.53,0,136
Edouard Manet,Bouquet de pivoines,06.22.2010,11361062,55 x 42cm,-,4000000.0,0,0,0,canvas,oil only,-,-,-,0.022,0,2702
Egon Schiele,Selbstbildnis mit Kariertem Hemd,11.07.2007,11353000,45.5 x 30 cm,-,4500000.0,0,0,0,paper,other techniques,-,-,-,0.1365,0,2190
Peter Doig,Jetty,06.25.2013,11302082,200 x 250cm,Post-War and Contemporary Art Evening Auction,4880000.0,1,0,1,canvas,oil only,1994,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01134_0009_000(peter_doig_jetty).jpg,landscape,0.5,0,91
,Abstraktes Bild,11.09.2010,11282500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Paul Gauguin,Jeune tahitienne,05.03.2011,11282500,24.5 cm,-,10000000.0,0,0,0,other,other techniques,-,-,-,0,0,1459
Alexej Jawlensky,Frau mit grünem Fächer,05.03.2011,11282500,65 x 54 cm,-,8000000.0,0,0,0,board,oil only,-,-,-,0.351,0,2185
Pablo Picasso,Femme au chapeau,02.04.2008,11268375,-,-,12000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Peter Doig,White Canoe,02.07.2007,11259368,200 x 241cm,Magic Realism,800000.0,0,0,0,canvas,oil only,-,https://uploads7.wikiart.org/images/peter-doig/white-canoe-1991.jpg!Large.jpg,landscape,0.48,0,1134
Jean-Michel Basquiat,Untitled,05.15.2008,11241000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Claude Monet,"Nymphéas, temps gris",05.02.2006,11216000,100 x 73 cm,Impressionist and Modern Art Evening Sale,10000000.0,1,0,1,canvas,oil only,1907,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01655_0011_000().jpg,-,0.73,0,362
Andy Warhol,Three Marilyns,06.20.2007,11159634,-,-,20000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Canaletto,"The Campo Santi Giovanni e Paolo, Venice, with the west end of the church and the Scuola di San Marco",12.13.2000,11155155,47 x 77.8 cm,IMPORTANT OLD MASTER PICTURES,3660000.0,0,0,0,canvas,oil only,-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06405_0104_000().jpg,-,0.3657,0,748
Andy Warhol,Mao,06.28.2011,11146363,127 x 106.7cm,Post-War and Contemporary Art Evening Auction,7320000.0,1,0,1,canvas,other techniques,1973,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07977_0010_000(andy_warhol_mao).jpg,portrait,1.3462,0,249
John Singer Sargent,Cashmere,12.05.1996,11112500,71.1 x 54.6 cm,Realism,3000000.0,0,0,0,canvas,oil only,-,https://uploads8.wikiart.org/images/john-singer-sargent/cashmere.jpg!Large.jpg,genre painting,0.3882,0,2115
,Studio painting,05.11.2010,11058500,-,-,3000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Franz Kline,De Medici,11.14.2012,11058500,209.6 x 290.8 cm,Post-War & Contemporary Art Evening Sale,5000000.0,1,0,1,canvas,oil and others,1956,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0026_000(franz_kline_de_medici).jpg,-,6.0952,0,175
Edgar Degas,Danseuses,05.13.1997,11002500,32 x 49.5 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1584,0,1384
Pablo Picasso,Femme nue,11.17.1998,11002500,62 x 48 cm,-,1000000.0,0,0,0,paper,other techniques,-,-,-,0.2976,0,2157
Zao Wou-Ki,15.01.82,10.05.2013,10992327,195 x 390 cm,-,68000000.0,0,0,0,canvas,oil only,-,-,-,7.605,0,2337
Joan Miró,Peinture,05.08.2013,10987750,74.5 x 54.5cm,-,2500000.0,0,0,0,board,oil only,-,-,-,0.4023,0,1776
,"The Blue Rigi: Lake of Lucerne, Sunrise",06.05.2006,10978740,29.7 x 45 cm,"British Art on Paper Including 'The Blue Rigi' by J.M.W. Turner, R.A.",-,0,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07235_0053_000().jpg,-,0.1336,0,536
Pablo Picasso,Femme au chien,06.20.2012,10962651,129.9 x 96.8 cm,Synthetic Cubism,12000000.0,0,0,0,panel,oil only,-,https://uploads7.wikiart.org/00234/images/pablo-picasso/tumblr-ncvvi72tmw1rfj3p6o1-500.jpeg!Large.jpeg,portrait,1.2574,0,1790
Jasper Johns,0 Through 9,11.09.2004,10928000,-,-,5000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Brice Marden,The attended,11.13.2013,10917000,208.3 x 144.8 cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,3.0162,0,2635
Pablo Picasso,Mousquetaire. Buste,06.25.2008,10875482,130 x 81cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,0.104,0,1534
Edvard Munch,Summer Day,02.07.2006,10835326,90.5 x 195.5cm,-,2500000.0,0,0,0,canvas,oil only,-,-,-,1.7648,0,2702
Jean-Michel Basquiat,Blue HeadsREPEAT SALE,11.12.2013,10805000,182.8 x 297.1 cm,Post-War and Contemporary Evening Sale,8000000.0,0,0,0,canvas,oil only,1983,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0033_000(jean-michel_basquiat_blue_heads).jpg,-,5.431,0,302
Pieter Brueghel II,The Battle between Carnival and LentREPEAT SALE,12.06.2011,10747701,119.4 x 171.2 cm,Old Master & British Paintings (Evening Sale),4270000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_08007_0017_000(pieter_brueghel_ii_the_battle_between_carnival_and_lent).jpg,-,2.0441,0,322
Jean-Michel Basquiat,Untitled,02.12.2013,10731033,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Edgar Degas,Danseuses,11.03.2009,10722500,32 x 49.5 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1584,0,1384
Pablo Picasso,Le peintre et son modèle,05.04.2010,10722500,65 x 100 cm,-,1400000.0,0,0,0,canvas,oil only,-,-,-,0.65,0,1150
Andy Warhol,Ten-Foot Flowers,05.09.2012,10722500,290.9 x 290.9 cm,-,9000000.0,0,0,0,other,other techniques,-,-,-,8.4623,0,2521
,Pope′s Villa at Twickenham,07.09.2008,10692026,91.5 x 120.5 cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,1.1026,0,2818
Mark Rothko,Untitled,11.13.2007,10681000,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Tom Wesselmann,Great American Nude no. 48,05.14.2008,10681000,271.1 x 102.8 cm,-,6000000.0,0,0,0,"canvas, board",oil and others,-,-,-,2.7869,0,2625
Gino Severini,Ritmo astratto di madame M.S.,02.03.2015,10678512,92 x 65.5cm,-,5000000.0,0,0,0,canvas,oil only,-,-,-,0.598,0,1574
Willem de Kooning,Untitled,11.08.2005,10656000,130.8 x 92.1 cm,Abstract Expressionism,200000.0,0,0,0,other,oil and others,-,https://uploads2.wikiart.org/images/willem-de-kooning/untitled-1949.jpg!Large.jpg,abstract,1.2047,0,230
Pablo Picasso,Le Fumeur,11.07.2006,10656000,100 x 81 cm,-,9000000.0,0,0,0,panel,oil only,-,-,-,0.81,0,2004
Willem de Kooning,Untitled XXX,11.14.2006,10656000,203.2 x 177.8 cm,-,7500000.0,0,0,0,canvas,oil only,-,-,-,3.6129,0,1173
Edgar Degas,Danseuse,05.06.2003,10648000,54.7 x 43.7 cm,-,500000.0,0,0,0,paper,other techniques,-,-,-,0.239,0,2163
Christopher Wool,Untitled,07.01.2014,10645335,94 x 61 cm,-,40000.0,0,0,0,paper,other techniques,-,-,-,0.5734,0,167
Wassily Kandinsky,"Murnau - Ansicht mit Burg, Kirche und Eisenbahn",02.06.2013,10635446,48 x 69 cm,Impressionist/Modern Evening Sale,6100000.0,1,0,1,board,oil only,1909,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0026_000(wassily_kandinsky_murnau_-_ansicht_mit_burg_kirche_und_eisenbahn).jpg,-,0.3312,0,164
Wassily Kandinsky,Krass und mild,11.04.2009,10610500,100.5 x 120.5 cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,1.211,0,1935
Pablo Picasso,"Couple, le baiser",06.22.2011,10602766,116 x 89cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,0.0928,0,1583
Henri Matisse,Nu au bord de la mer,02.23.2009,10570731,61.2 x 50 cm,Collection Yves Saint Laurent et Pierre Bergé,4320000.0,1,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0056_000().jpg,-,0.306,0,214
Thomas Gainsborough,"Portrait of Mrs. William Villebois in masquerade dress, with a blue gown and a lace-edged satin skirt, holding a diaphanous wrap, beside a pilaster",07.05.2011,10516474,226 x 147 cm,Old Master & British Paintings - Evening Sale,4880000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07980_0010_000(thomas_gainsborough_ra_portrait_of_mrs_william_villebois_full-length_i).jpg,-,3.3222,0,749
Andy Warhol,Little Electric Chair,05.12.2014,10469000,-,-,800000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Paul Cézanne,Environs de Gardanne,05.07.2008,10457000,58.5 x 71.8 cm,-,6000000.0,0,0,0,other,other techniques,-,-,-,0.42,0,2756
Henri Matisse,Nu couche I,05.07.2001,10452500,29.8 cm,-,250000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1641
Sandro Botticelli,The Rockefeller Madonna: Madonna and Child with Young Saint John the BaptistREPEAT SALE,01.30.2013,10442500,46.3 x 36.8 cm,Renaissance,5000000.0,0,0,1,panel,oil and others,-,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02673_0148_000(alessandro_filipepi_called_sandro_botticelli_the_rockefeller_madonna_m).jpg,-,0.1704,0,629
Sanyu,Potted chrysanthemums,04.05.2014,10412046,130 x 74 cm,,-,0,0,0,other,oil only,-,https://uploads2.wikiart.org/images/sanyu/potted-chrysanthemums-1950.jpg,still life,0.962,0,815
Claude Monet,Le Palais Dario,11.07.2007,10401000,81 x 66 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.5346,0,2372
Paul Gauguin,Le vallon,06.21.2011,10389629,41.5 x 67 cm,Impressionist/Modern Evening Sale,6710000.0,1,0,1,canvas,oil only,1892,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0028_000(paul_gauguin_le_vallon).jpg,-,0.2781,0,217
Pablo Picasso,Buste D′Homme,11.04.2009,10386500,116 x 89 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,1.0324,0,2112
Edward Hopper,Bridle Path,05.17.2012,10386500,59.4 x 107 cm,Social Realism,5000000.0,0,0,0,canvas,oil only,-,https://uploads5.wikiart.org/images/edward-hopper/bridle-path.jpg!Large.jpg,genre painting,0.6356,0,2983
René Magritte,Le prêtre Marié,02.06.2007,10368793,95 x 140 mm,-,1500.0,0,0,0,other,other techniques,-,-,-,1.33,0,23
Claude Monet,Au Parc MonceauREPEAT SALE,06.23.2009,10360044,65.3 x 54.2 cm,Impressionist/Modern Evening Sale,4270000.0,1,0,0,canvas,oil only,1878,-,-,0.3539,0,685
