Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Jeff Koons,Pink Panther,05.10.2011,16882500,52.1 x 48.3 cm,Neo-Pop Art,20000000.0,0,0,0,other,other techniques,-,https://uploads3.wikiart.org/images/jeff-koons/pink-panther.jpg!Large.jpg,sculpture,0.2516,0,2651
,Abstraktes Bild,05.09.2012,16882500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Claude Monet,Le bassin aux nymphéas,05.06.2004,16808000,-,-,4000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Edgar Degas,Au Musée du Louvre,05.08.2002,16509500,-,-,12000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Claude Monet,La plage à Trouville,06.27.2000,16469840,-,-,1000000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Francis Bacon,"Study from the Human Body, Man Turning on the Light ",10.14.2007,16465701,198 x 147.3cm,Post War and Contemporary Art  Evening Sale,8540000.0,1,0,1,canvas,oil and others,1973,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07425_0110_000().jpg,,2.9106,0,132
Mark Rothko,No 9,05.14.2003,16359500,137.2 x 69.8 cm,-,1500000.0,0,0,0,other,other techniques,-,-,-,0.9577,0,363
Max Ernst,The stolen mirror,11.01.2011,16322500,65 x 81 cm,Impressionist and Modern Evening Sale,4000000.0,1,0,1,other,other techniques,1941,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02477_0036_000(max_ernst_the_stolen_mirror).jpg,-,0.5265,0,192
,Printemps nécrophilique,05.02.2012,16322500,54.6 x 65 cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.3549,0,2026
Jean-Michel Basquiat,Untitled,05.10.2012,16322500,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Andy Warhol,Suicide,11.13.2012,16322500,101.6 x 76.2 cm,-,6000000.0,0,0,0,paper,other techniques,-,-,-,0.7742,0,2146
Pablo Picasso,Tête de femme,11.06.2007,16281000,12 cm,-,150000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1611
Andy Warhol,Orange MarilynREPEAT SALE,11.15.2006,16256000,50 x 40.5 cm,Post War and Contemporary Art Evening Sale,10000000.0,1,0,0,canvas,other techniques,1962,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0032_000().jpg,-,0.2025,0,308
Henri de Toulouse-Lautrec,Au lit: Le baiser,02.03.2015,16242840,39 x 58cm,-,9000000.0,0,0,0,board,other techniques,-,-,-,0.0195,0,2724
Claude Monet,Les peupliers à Giverny,02.03.2015,16242840,74 x 92.7cm,-,9000000.0,0,0,0,canvas,oil only,-,-,-,0.6808,0,3051
Claude Monet,"Glaçons, effet blanc",11.06.2013,16125000,65.5 x 100 cm,-,9000000.0,0,0,0,canvas,oil only,-,-,-,0.655,0,1601
Francis Bacon,Head III,06.26.2013,16122176,81 x 66cm,Expressionism,5000000.0,0,0,0,other,other techniques,-,https://uploads5.wikiart.org/images/francis-bacon/head-iii(1).jpg!Large.jpg,figurative,0.0486,0,2597
Vincent van Gogh,Vue de l′asile et de la Chapelle de Saint-Rémy,02.07.2012,15980442,45.1 x 60.4 cm,Impressionist / Modern Evening Sale,6100000.0,0,0,1,canvas,oil only,1889,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08049_0012_000(vincent_van_gogh_vue_de_lasile_et_de_la_chapelle_de_saint-remy).jpg,-,0.2724,0,524
George Stubbs,Brood mares and foals,12.08.2010,15955138,99.7 x 188.6 cm,Romanticism,10000000.0,0,0,0,canvas,oil only,-,https://uploads6.wikiart.org/images/george-stubbs/brood-mares-and-foals.jpg!Large.jpg,animal painting,1.8803,0,2227
Georges Braque,Paysage à la Ciotat,05.07.2013,15845000,51 x 62 cm,-,10000000.0,0,0,0,canvas,oil only,-,-,-,0.3162,0,2235
Claude Monet,Le pont japonais,05.07.2014,15845000,90 x 116.3 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,1.0467,0,2138
Jeff Koons,Pink Panther,11.12.2014,15845000,52.1 x 48.3 cm,Post-War & Contemporary Art Evening Sale,8000000.0,1,0,0,other,other techniques,1988,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0033_000(jeff_koons_pink_panther).jpg,sculpture,0.2516,0,157
,Kerze,02.27.2008,15709014,95 x 90cm,-,1800000.0,0,0,0,canvas,oil only,-,-,-,0.0855,0,2323
,Abstraktes Bild,02.14.2012,15626768,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Willem de Kooning,Woman,11.20.1996,15622500,46.7 x 41.9 cm,-,120000.0,0,0,0,paper,other techniques,-,-,-,0.1957,0,524
Lucio Fontana,"Concetto spaziale, La fine di Dio",10.19.2008,15570362,-,-,650000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pablo Picasso,Tête de femme,06.25.2008,15501631,12 cm,-,150000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1611
Claude Monet,L′Embarcadère,02.03.2015,15399760,54 x 73.5cm,-,7500000.0,0,0,0,canvas,oil only,-,-,-,0.3942,0,2961
Cy Twombly,Untitled,05.14.2013,15397000,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
Alberto Giacometti,Femme de Venise II,06.24.2014,15393048,120.5 cm,Impressionist/Modern Evening Sale,9760000.0,1,0,1,"bronze, patina",other techniques,1956,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0013_000(alberto_giacometti_femme_de_venise_ii).jpg,-,0,0,150
,Abstraktes Bild,11.14.2012,15314500,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Auguste Rodin,"Le Penseur, Taille de la Porte dit Moyen modèle",05.07.2013,15285000,71.5 cm,-,8000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2115
