Francis Bacon,Three Studies of Lucian Freud,11.12.2013,"142,404,992"
Edvard Munch,The Scream,05.02.2012,"119,922,496"
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,"106,482,496"
Andy Warhol,Silver car crash,11.13.2013,"105,445,000"
Pablo Picasso,Garçon à la pipe,05.05.2004,"104,168,000"
Alberto Giacometti,L′homme qui marche I,02.03.2010,"103,689,992"
Alberto Giacometti,Chariot,11.04.2014,"100,965,000"
Pablo Picasso,Dora Maar au chat,05.03.2006,"95,216,000"
Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006,"87,936,000"
Mark Rothko,"Orange, Red, Yellow",05.08.2012,"86,882,496"
Francis Bacon,"Triptych, 1976",05.14.2008,"86,281,000"
Barnett Newman,Black Fire I,05.13.2014,"84,165,000"
Vincent van Gogh,Portrait du Dr. Gachet,05.15.1990,"82,500,000"
Andy Warhol,Triple Elvis,11.12.2014,"81,925,000"
Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014,"80,805,000"
Claude Monet,Le bassin aux nymphéas,06.24.2008,"80,549,392"
Pierre-Auguste Renoir,Au moulin de la Galette,05.17.1990,"78,100,000"
Sir Peter Paul Rubens,The Massacre of the Innocents,07.10.2002,"76,671,280"
Mark Rothko,No. 1,11.13.2012,"75,122,496"
Mark Rothko,White center,05.15.2007,"72,840,000"
Andy Warhol,Green Car Crash,05.16.2007,"71,720,000"
Vincent van Gogh,Portrait de l′artiste sans barbe,11.19.1998,"71,502,496"
Amedeo Modigliani,Tête,11.04.2014,"70,725,000"
Francis Bacon,Portrait of George Dyer TalkingREPEAT SALE,02.13.2014,"69,625,144"
Andy Warhol,Four Marlons,11.12.2014,"69,605,000"
Cy Twombly,Untitled,11.12.2014,"69,605,000"
Amedeo Modigliani,Nu assis sur un divan,11.02.2010,"68,962,496"
Mark Rothko,Untitled,05.13.2014,"66,245,000"
Qi Baishi,Eagle standing on pine tree,05.22.2011,"65,532,112"
Edouard Manet,Le Printemps,11.05.2014,"65,125,000"
Andy Warhol,Men in Her Life,11.08.2010,"63,362,500"
Andy Warhol,Race Riot,05.13.2014,"62,885,000"
Wang Meng,Landscape,06.04.2011,"62,118,992"
Vincent van Gogh,"Nature morte, vase aux marguerites et coquelicots",11.04.2014,"61,765,000"
Clyfford Still,1949-A-No. 1,11.09.2011,"61,682,500"
Paul Cézanne,"Rideau, cruchon et compotier",05.10.1999,"60,502,500"
Kasimir Severinovich Malevich,Suprematist Composition,11.03.2008,"60,002,500"
Jeff Koons,Balloon dog,11.12.2013,"58,405,000"
Jackson Pollock,Number 19REPEAT SALE,05.15.2013,"58,363,752"
