Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image,Urls,Found
Jean-Michel Basquiat,Untitled,06.25.2013,"28,888,188",-,-,-,-,-,-,-,-,-,-,0
,BlauREPEAT SALE,05.14.2014,"28,725,000",-,-,-,-,-,-,-,-,-,-,0
Rembrandt Harmensz van Rijn,"Portrait of a lady, aged 62, perhaps Aeltje Pietersdr. Uylenburgh, wife of Johannes Cornelisz. Sylvius, half-length, in black costume and a cap and collar",12.13.2000,"28,676,152",73.7 x 55.8 cm,IMPORTANT OLD MASTER PICTURES,"GBP 4,000,000 - GBP 6,000,000","William G. Coesvelt, Carlton Gardens, London, by whom offered for sale, through John Smith; George Stanley, London, 2 May 1828, lot 37, 'The Portrait of an interesting old Lady, said to be the painter's mother, at the age of 62' (unsold).
John Smith (1781-1855), by 1835, when sold by him (according to a note in his own copy of his catalogue) to
Albert Brondgeest (d. 1847), Amsterdam.
Baron Alphonse de Rothschild (1827-1905), Paris.
Baron Edouard de Rothschild (1868-1949), Paris.
Baroness Batsheva de Rothschild (1914-99), Tel Aviv
Rothschild inventory no. ER 43 ( the inventory no. R49 on the reverse relates to the Nazi requisitions of 1940-1). 
","
signed and dated 'RHL van Ryn  1632' (RHL in monogram, upper right), and inscribed 'æ/62' (æ linked, upper left)
",-,"signed and dated 'RHL van Ryn  1632' (RHL in monogram, upper right), and inscribed 'æ/62' (æ linked, upper left)",-,https://www.christies.com/img/LotImages/2000/CKS/2000_CKS_06405_0052_000().jpg,https://www.christies.com/lotfinder/lot/rembrandt-harmensz-van-rijn-portrait-of-a-1960656-details.aspx?from=searchresults&intObjectID=1960656,1
,Wand,02.12.2014,"28,663,260",-,-,-,-,-,-,-,-,-,-,0
Francis Bacon,Study for a portrait,06.28.2011,"28,660,766",-,-,-,-,-,-,-,-,-,-,0
Henri Matisse,Bouquet de fleurs pour le quatorze juillet,05.05.2010,"28,642,500",-,-,-,-,-,-,-,-,-,-,0
Jasper Johns,Flag,05.11.2010,"28,642,500",-,-,-,-,-,-,-,-,-,-,0
Juan Gris,Violon et guitare,11.03.2010,"28,642,500",100.3 x 65.4 cm,Impressionist and Modern Evening Sale ,"USD 18,000,000 - USD 25,000,000","Galerie Kahnweiler, Paris.
Daniel-Henry Kahnweiler, Paris; Fourth Sale of Sequestered Art, Hôtel Drouot, Paris, 7-8 May 1923, lot 294.
Count and Countess de Chambrun, Paris.
Galerie Balaÿ et Carré, Paris.
Jacques Seligmann & Co., New York (by 1938).
Mr. and Mrs. Ralph F. Colin, New York (by 1958).
Ralph F. Colin, Jr., New York (by descent from above, by 1984).
Acquavella Galleries, Inc., New York.
Acquired from the above by the present owner.
","
signed, inscribed and dated 'Juan Gris, Céret. 9-13' (on the reverse) 
",-,oil on canvas ,1913,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0023_000(juan_gris_violon_et_guitare).jpg,https://www.christies.com/lotfinder/paintings/juan-gris-violon-et-guitare-5369376-details.aspx?from=searchresults&intObjectID=5369376,1
Paul Cézanne,Nature Morte: Les grosses pommes,05.11.1993,"28,602,500",-,-,-,-,-,-,-,-,-,-,0
Andrea Mantegna,Descent into Limbo,01.23.2003,"28,568,000",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Claude et Paloma,11.04.2013,"28,165,000",116 x 89 cm,A Dialogue Through Art: Works from the Jan Krugier Collection Evening Sale,"USD 9,000,000 - USD 12,000,000","Estate of the artist.
Marina Picasso (by descent from the above).
Jan Krugier, acquired from the above.
","
dated and inscribed 'vendredi 20.1.50. Vallauris' (on the reverse) 
",-,oil and ripolin on panel ,-,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_03442_0017_000(pablo_picasso_claude_et_paloma).jpg,https://www.christies.com/lotfinder/paintings/pablo-picasso-claude-et-paloma-5729545-details.aspx?from=searchresults&intObjectID=5729545,1
Jeff Koons,Popeye,05.14.2014,"28,165,000",-,-,-,-,-,-,-,-,-,-,0
Roy Lichtenstein,Nude with Red Shirt,11.14.2012,"28,082,500",198.1 x 167.7 cm,Post-War & Contemporary Art Evening Sale,"USD 12,000,000 - USD 18,000,000","Leo Castelli Gallery, New York
Thomas Gibson Fine Art, London
Acquired from the above by the present owner, 1995 
","
signed and dated 'rf Lichtenstein '95' (on the reverse) 
",-,oil and Magna on canvas ,1995,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0039_000(roy_lichtenstein_nude_with_red_shirt).jpg,https://www.christies.com/lotfinder/paintings/roy-lichtenstein-nude-with-red-shirt-5621949-details.aspx?from=searchresults&intObjectID=5621949,1
Francis Bacon,Three Studies for Self-PortraitREPEAT SALE,05.13.2008,"28,041,000",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,Lemon Marilyn,05.16.2007,"28,040,000",50.8 x 40.6 cm,Post-War and Contemporary Art Evening Sale,,"Stable Gallery, New York
Acquired from the above by the present owner, 1962 
","
signed and dated 'Andy Warhol 62' (on the reverse) 
",-,"synthetic polymer, silkscreen inks and acrylic on canvas ",1962,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0018_000().jpg,https://www.christies.com/lotfinder/lot/andy-warhol-lemon-marilyn-4913710-details.aspx?from=searchresults&intObjectID=4913710,1
Jean Honoré Fragonard,"Portrait of François-Henri, 5th duc d′Harcourt",12.05.2013,"28,015,316",-,-,-,-,-,-,-,-,-,-,0
Adriaen de Vries,A Bronze Bacchic Figure Supporting The Globe,12.11.2014,"27,885,000",-,-,-,-,-,-,-,-,-,-,0
Gustav Klimt,"Frauenbildnis, portrait of Ria Munk III",06.23.2010,"27,786,368",180.7 x 89.9 cm,Impressionist/Modern  Evening Sale,"GBP 14,000,000 - GBP 18,000,000","Aranka Munk, Vienna and Bads Aussee, by whom acquired from the artist.
Wolfgang Gurlitt, Berlin (see note).
Neue Galerie der Stadt (later, Lentos Kunstmuseum), Linz (inv. no. 149), by whom acquired from the above by 1956.
Restituted to the heirs of Aranka Munk in June 2009. 
",-,-,oil and charcoal on canvas ,1917,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0034_000(gustav_klimt_frauenbildnis).jpg,https://www.christies.com/lotfinder/paintings/gustav-klimt-frauenbildnis-5334971-details.aspx?from=searchresults&intObjectID=5334971,1
George Wesley Bellows,Polo Crowd,12.01.1999,"27,702,500",-,-,-,-,-,-,-,-,-,-,0
Piet Mondrian,"Composition avec bleu, rouge, jaune et noir",02.23.2009,"27,666,556",79.6 x 49.8 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 7,000,000 - EUR 10,000,000","Helene Kröller-Müller, Wassenaar (acquis auprès de l'artiste, 1922).
Anton G. Kröller, Hoenderloo (par descendance, 1939).
Collection particulière (par descendance, 1941). 
Kunsthandel K.A. Legat-Ehrlich, La Haye.
Jon Nicholas Streep, Amsterdam/New York (acquis auprès de celui-ci, vers 1946).
Nierendorf Gallery, New York.
Leo Castelli, New York (acquis en 1949).
Rose Fried Gallery, New York (acquis en 1955).
Israël Rosen, Baltimore (acquis auprès de celle-ci, 14 mai 1955).
Galerie Beyeler, Bâle (acquis auprès de celle-ci, 1972).
Galerie Tarica, Paris (acquis auprès de celle-ci, vers 1978).
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, 1978. 
","
signé du monogramme 'PM' (en bas à droite) 
","
Collection particulière (par descendance, 1941). 
",huile sur toile ,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0042_000().jpg,https://www.christies.com/lotfinder/paintings/piet-mondrian-composition-avec-bleu-rouge-j-5157367-details.aspx?from=searchresults&intObjectID=5157367,1
Pablo Picasso,Femme au costume turc dans un fauteuil,02.04.2014,"27,653,536",92 x 73 cm,Impressionist/Modern Evening Sale,"GBP 15,000,000 - GBP 20,000,000","Galerie Louise Leiris, Paris (no. 7161), by whom acquired directly from the artist. 
Galerie Beyeler, Basel (no. 1791), by whom acquired from the above. 
Private collection, Munich, by whom acquired from the above in 1958, and thence by descent. 

","
signed 'Picasso' (upper right); dated and numbered '20.11.55. II' (on the reverse)
","
Private collection, Munich, by whom acquired from the above in 1958, and thence by descent. 
",oil on canvas,1955,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0028_000(pablo_picasso_femme_au_costume_turc_dans_un_fauteuil).jpg,https://www.christies.com/lotfinder/paintings/pablo-picasso-femme-au-costume-turc-dans-5766380-details.aspx?from=searchresults&intObjectID=5766380,1
Francis Bacon,Study for Portrait II,02.08.2007,"27,627,812",-,-,-,-,-,-,-,-,-,-,0
Vincent van Gogh,L′homme est en merREPEAT SALE,02.05.2014,"27,531,980",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,Self-portrait,05.11.2011,"27,522,500",-,-,-,-,-,-,-,-,-,-,0
Alberto Giacometti,Grande femme debout IIREPEAT SALE,05.06.2008,"27,481,000",-,-,-,-,-,-,-,-,-,-,0
Constantin Brancusi,Oiseau dans l′espace,05.04.2005,"27,456,000",85.5 cm,Impressionist and Modern Art (Evening Sale)                 ,"USD 8,000,000 - USD 12,000,000","Léonie Ricou, Paris (acquired from the artist, by 1928).
Alexandre Stoppelaere, Brussels (by descent from the above).
Private collection, Europe (acquired from the above, 7 September 1937).
By descent from the above to the present owner.
","
signed with monogram 'CB' (on the underside of the cylinder base) 
","
Private collection, Europe (acquired from the above, 7 September 1937).
",-,-,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01514_0007_000().jpg,https://www.christies.com/lotfinder/lot/constantin-brancusi-oiseau-dans-lespace-4488033-details.aspx?from=searchresults&intObjectID=4488033,1
Francis Bacon,Study for Head of George Dyer,07.01.2008,"27,433,052",-,-,-,-,-,-,-,-,-,-,0
Willem de Kooning,Untitled XXV,11.15.2006,"27,120,000",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Nymphéas,05.06.2014,"27,045,000",100.1 x 81.2 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,"USD 25,000,000 - USD 35,000,000","Galerie Durand-Ruel et Cie. and Galerie Bernheim-Jeune et Cie., Paris (acquired from the artist, 14 December 1920).
Galerie Durand-Ruel et Cie., Paris (acquired from the above).
Durand-Ruel Galleries, New York (acquired from the above, 17 January 1923).
Acquired from the above by the late owner, 2 May 1930.
","
signed 'Claude Monet' (lower right) 
",-,oil on canvas ,1907,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0008_000(claude_monet_nympheas).jpg,https://www.christies.com/lotfinder/paintings/claude-monet-nympheas-5790360-details.aspx?from=searchresults&intObjectID=5790360,1
Mark Rothko,Untitled,05.15.2013,"27,003,750",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,Liz no.5,05.12.2011,"26,962,500",-,-,-,-,-,-,-,-,-,-,0
Vincent van Gogh,Sous-bois,11.08.1995,"26,952,500",-,-,-,-,-,-,-,-,-,-,0
Mark Rothko,Untitled,05.16.2007,"26,920,000",-,-,-,-,-,-,-,-,-,-,0
Edward Hopper,Hotel WindowREPEAT SALE,11.29.2006,"26,896,000",-,-,-,-,-,-,-,-,-,-,0
Amedeo Modigliani,Nu couché,11.04.2003,"26,887,500",-,-,-,-,-,-,-,-,-,-,0
Joan Miró,Painting-Poem,02.07.2012,"26,590,650",130.2 x 96.5 cm,The Art of The Surreal Evening Sale,"GBP 6,000,000 - GBP 9,000,000","Galerie Pierre, Paris.
Galerie Vignon, Paris.
Marie Cuttoli, Paris.
Cordier Warren Gallery, New York.
Selma & Maxime Hermanos, New York.
Anonymous sale, Christie's, New York, 12 November 1985, lot 59.
Acquired at the above sale by the present owner. 
","
signed and dated 'Miró.1925.' (lower right) 
",-,oil on canvas ,1925,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08056_0117_000(joan_miro_painting-poem).jpg,https://www.christies.com/lotfinder/paintings/joan-miro-painting-poem-5532324-details.aspx?from=searchresults&intObjectID=5532324,1
Christopher Wool,Apocalypse Now,11.12.2013,"26,485,000",213.4 x 182.9 cm,Post-War and Contemporary Evening Sale,"USD 15,000,000 - USD 20,000,000","Luhring Augustine, New York
303 Gallery, New York
Werner and Elaine Dannheisser, New York
Per Skarstedt, New York
Mr. and Mrs. Donald L. Bryant, St. Louis
Phillippe Ségalot, New York
François Pinault, Paris
Giraud Pissarro Ségalot, New York
David and Danielle Ganek, New York
Acquired from the above by the present owner","
signed, titled, numbered and dated 'APOCALYPSE NOW (P.50) WOOL 1988' (on the reverse)
",-,alkyd and flashe on aluminum and steel,1988,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008_000(christopher_wool_apocalypse_now).jpg,https://www.christies.com/lotfinder/paintings/christopher-wool-apocalypse-now-5739095-details.aspx?from=searchresults&intObjectID=5739095,1
,A.B. Courbet,11.13.2013,"26,485,000",-,-,-,-,-,-,-,-,-,-,0
Franz Kline,King Oliver,11.12.2014,"26,485,000",251.4 x 196.8 cm,Post-War & Contemporary Art Evening Sale,"USD 25,000,000 - USD 35,000,000","Sidney Janis Gallery, New York
Isobel and I. Donald Grossman, New York, circa 1958
Mitchell-Innes & Nash, New York
Private collection, Paris
C & M Arts, New York
Private collection, San Francisco
Acquired from the above by the present owner

","
signed and dated 'FRANZ KLINE 58' (on the reverse)
","
Private collection, Paris
",oil on canvas,1958,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0023_000(franz_kline_king_oliver).jpg,https://www.christies.com/lotfinder/paintings/franz-kline-king-oliver-5846078-details.aspx?from=searchresults&intObjectID=5846078,1
Edgar Degas,Danseuses à la barreREPEAT SALE,06.24.2008,"26,421,902",65.8 x 50.7 cm,Impressionist  and Modern Art  Evening Sale,"GBP 4,000,000 - GBP 6,000,000","Mr and Mrs H.O. Havemeyer, New York.
Mrs Electra Havemeyer Webb (daughter of the above), New York, from 1929. 
Mrs Electra Webb Bostwick (daughter of the above), New York, from 1960; sale, Christie's, New York, 3 November 1982, lot 44 ($1,045,000).
Acquired by the present owner circa 1985.
","
signed and indistinctly inscribed 'Degas' (upper right, see note) 
",-,"pastel, gouache and charcoal on paper ",1880,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07599_0009_000().jpg,https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuses-a-la-barre-5099996-details.aspx?from=searchresults&intObjectID=5099996,1
Jean-Michel Basquiat,UntitledREPEAT SALE,11.14.2012,"26,402,500",-,-,-,-,-,-,-,-,-,-,0
Edouard Manet,La rue Mosnier aux drapeaux,11.14.1989,"26,400,000",-,-,-,-,-,-,-,-,-,-,0
Vincent van Gogh,Autoportrait,05.15.1990,"26,400,000",-,-,-,-,-,-,-,-,-,-,0
Edouard Manet,Les Courses au Bois de Boulogne,05.05.2004,"26,328,000",-,-,-,-,-,-,-,-,-,-,0
Amedeo Modigliani,L′Amazone,05.07.2013,"25,925,000",-,-,-,-,-,-,-,-,-,-,0
Jean-Michel Basquiat,Untitled,11.13.2013,"25,925,000",-,-,-,-,-,-,-,-,-,-,0
Alexander Calder,Poisson volant,05.13.2014,"25,925,000",226.0 x 101.6 cm,Post-War and Contemporary Evening Sale,"USD 9,000,000 - USD 12,000,000","Galerie Maeght, Paris
Acquired from the above by the present owner, 1965
","
signed with initials and dated 'CA 57' (on the largest element)
",-,"hanging mobile--painted sheet metal, rod and wire ",1957,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0008_000(alexander_calder_poisson_volant).jpg,https://www.christies.com/lotfinder/sculptures-statues-figures/alexander-calder-poisson-volant-5792506-details.aspx?from=searchresults&intObjectID=5792506,1
Jeff Koons,Balloon Monkey,11.12.2014,"25,925,000",596.9 x 320 cm,Post-War & Contemporary Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Sonnabend Gallery, New York 
Acquired from the above by the present owner","
signed and dated 'Jeff Koons 2006-2013' (on the underside of the head)
",-,mirror-polished stainless steel with transparent color coating,2006,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0042_000(jeff_koons_balloon_monkey).jpg,https://www.christies.com/lotfinder/sculptures-statues-figures/jeff-koons-balloon-monkey-5846097-details.aspx?from=searchresults&intObjectID=5846097,1
Philip Guston,To Fellini,05.15.2013,"25,883,750",175.2 x 187.9 cm,Post-War & Contemporary Evening Sale,"USD 8,000,000 - USD 12,000,000","Sidney Janis Gallery, New York
Nelson A. Rockefeller Collection, New York
Richard Manoogian Collection, Grosse Pointe
Gagosian Gallery, New York
Acquired from the above by the present owner, 1991
","
signed, titled and dated 'PHILIP GUSTON 1958 ""TO FELLINI""' (on the reverse)
","
Nelson A. Rockefeller Collection, New York
",oil on canvas ,1958,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0023_000(philip_guston_to_fellini).jpg,https://www.christies.com/lotfinder/paintings/philip-guston-to-fellini-5684059-details.aspx?from=searchresults&intObjectID=5684059,1
Piet Mondrian,"Composition with red, blue and grey",06.23.2014,"25,870,094",-,-,-,-,-,-,-,-,-,-,0
Alberto Giacometti,La main,05.04.2010,"25,842,500",71 cm,Impressionist/ Modern Evening Sale,"USD 10,000,000 - USD 15,000,000","Pierre Matisse Gallery, New York (July 1948).
Millicent Rogers, New York (acquired from the above, 1950).
Mr. and Mrs. Paul Peralta-Ramos, New York (by descent from the above, by 1965).
Stephan Hahn Gallery, New York (by 1994).
Acquired from the above by the present owner, 1995. 
",-,-,bronze with brown and green patina ,1947,-,https://www.christies.com/lotfinder/sculptures-statues-figures/alberto-giacometti-la-main-5313271-details.aspx?from=searchresults&intObjectID=5313271,1
Ren Yi,Huafeng people′s wishes to Emperor Yao,07.16.2011,"25,804,704",-,-,-,-,-,-,-,-,-,-,0
Rembrandt Harmensz van Rijn,Saint James the Greater,01.25.2007,"25,800,000",-,-,-,-,-,-,-,-,-,-,0
Jeff Koons,Balloon Flower,06.30.2008,"25,783,062",285 x 260cm,Post-War & Contemporary Art  Evening Sale,,"Anthony d'Offay Gallery, London, Jeffrey Deitch, New York and Galerie Max Hetzler, Berlin.
Acquired from the above by the present owner. 
",-,-,high chromium stainless steel with transparent colour coating ,1995,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07602_0012_000().jpg,https://www.christies.com/lotfinder/sculptures-statues-figures/jeff-koons-balloon-flower-5101408-details.aspx?from=searchresults&intObjectID=5101408,1
Paul Cézanne,Nature morte au melon vertREPEAT SALE,05.08.2007,"25,520,000",-,-,-,-,-,-,-,-,-,-,0
Francis Bacon,Self-portrait,05.11.2011,"25,282,500",-,-,-,-,-,-,-,-,-,-,0
Willem de Kooning,Untitled V,11.13.2013,"24,805,000",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Femme assise dans un fauteuil,11.10.1997,"24,752,500",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Maternité,11.14.1988,"24,750,000",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Le bassin aux nymphéasREPEAT SALE,11.02.2010,"24,722,500",-,-,-,-,-,-,-,-,-,-,0
Francis Bacon,Seated Woman,12.12.2007,"24,556,844",-,-,-,-,-,-,-,-,-,-,0
Zhang Daqian,Lotus and Mandarin ducks,05.31.2011,"24,551,210",-,-,-,-,-,-,-,-,-,-,0
Jean Antoine Watteau,La Surprise: A couple embracing while a figure dressed as Mezzetin tunes a guitar,07.08.2008,"24,417,178",36.3 x 28.2 cm,Important Old Master & British Pictures  Evening Sale,"GBP 3,000,000 - GBP 5,000,000","Nicolas Hénin (1691-1724), Paris.
Jean de Jullienne (1686-1766), Paris, by 1731.
Ange-Laurent de la Live de Jully (1725-1779), Paris, by 1764.
François-Michel Harenc de Presle, Paris (1710-1802); his sale, Le Brun, Paris 16-24 April, 1792, lot 51 'Le croc-en-jambe. On voit un homme assis vêtu en habit de mezetin, jouant de la guitare & regardant un homme qui renverse sur lui une femme qu'il embrasse. Ce joli et précieux tableau se trouve gravé dans son oeuvre, par Audran sous le nom de  La Surprise. Il est de la plus belle couleur et du plus beau faire de ce maître. Hauteur 14 pouces, largeur 11'; auction cancelled; private sale to M. Robit.
Citoyen M. Robit; sale, Paillet, Paris, 11-18 May 1801, lot 165 'Un tableau aussi piquant par le sujet que par la richesse de la couleur et l'esprit de la touche. Dans un paysage frais et agréable l'on voit trois personnages, dont un jeune homme vêtu à l'Espagnole, pinçant de la guitare, tandis qu'un autre embrasse une jeune fille qu'il tient renversée sur ses genoux. Elle est vue de profil et par le dos, ajustée d'un corset rouge qui découvre une partie de ses épaules. Ce précieux morceau, gravé par Audran, sous le titre de La Surprise, provident du Cabinet de Presle. 14 sur 11 pouces. Bois'. (411 francs to M. vandewalle).
Lady Murray, by 1848, and by inheritance to the present owners. 
",-,-,oil on panel ,-,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07609_0021_000().jpg,https://www.christies.com/lotfinder/paintings/jean-antoine-watteau-la-surprise-a-couple-embracing-5101828-details.aspx?from=searchresults&intObjectID=5101828,1
Franz Marc,Weidende Pferde III,02.05.2008,"24,326,828",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Le portail,05.10.2000,"24,205,750",-,-,-,-,-,-,-,-,-,-,0
Paul Gauguin,Mata Mua,05.09.1989,"24,200,000",-,-,-,-,-,-,-,-,-,-,0
André Derain,Arbres à Collioure,06.22.2010,"24,156,490",-,-,-,-,-,-,-,-,-,-,0
,Vierwaldstätter See,02.11.2015,"24,015,744",120 x 150cm,Post-War and Contemporary Art Evening Auction,,"The Artist.
Acquired from the above by the present owner in 1973.","
signed, numbered and dated '226/2 Richter 69' (on the reverse)
",-,oil on canvas,1969,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10337_0008_000(gerhard_richter_vierwaldstatter_see).jpg,https://www.christies.com/lotfinder/paintings/gerhard-richter-vierwaldstatter-see-5871558-details.aspx?from=searchresults&intObjectID=5871558,1
Pablo Picasso,Nu au collier,06.25.2002,"23,944,552",92 x 73cm,Impressionist and Modern Art Evening Sale                   ,"GBP 6,000,000 - GBP 9,000,000","Galerie Simon (Daniel-Henri Kahnweiler), Paris (1358), where purchased by the parents of the present owner.
","
signed and dated 'Picasso 32' (upper left); incribed 'Boisgeloup juillet - octobre XXXII' (on the crossbar of the stretcher)
",-,oil on canvas ,1932,https://www.christies.com/img/LotImages/2002/CKS/2002_CKS_06590_0012_000().jpg,https://www.christies.com/lotfinder/lot/pablo-picasso-nu-au-collier-3948028-details.aspx?from=searchresults&intObjectID=3948028,1
Andy Warhol,Big Campbell′s soup can with can opener,11.10.2010,"23,882,500",182.9 x 132.1 cm,Post-War and Contemporary Evening Sale,"USD 30,000,000 - USD 50,000,000","Stable Gallery, New York
Mr. and Mrs. Burton Tremaine, Meriden
Ted Ashley, New York
Their sale; Christie's, New York, 12 November 1986, lot 6
Mayor Gallery, London
Acquired from the above by the present owner, 1987
","
signed and dated 'Andy Warhol 62' (on the stretcher); signed again 'Andy Warhol 62' (on the reverse)
",-,casein and graphite on linen ,1962,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0008_000(andy_warhol_big_campbells_soup_can_with_can_opener).jpg,https://www.christies.com/lotfinder/paintings/andy-warhol-big-campbells-soup-can-with-5371693-details.aspx?from=searchresults&intObjectID=5371693,1
Henri Matisse,Odalisque au fauteuil noirREPEAT SALE,02.03.2015,"23,830,560",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Les Tuileries,06.25.1990,"23,821,898",-,-,-,-,-,-,-,-,-,-,0
David Smith,Cubi XXVIII,11.09.2005,"23,816,000",-,-,-,-,-,-,-,-,-,-,0
Kurt Schwitters,Ja - Was? - Bild,06.24.2014,"23,781,982",109.2 x 80 cm,Impressionist/Modern Evening Sale,"GBP 4,000,000 - GBP 6,000,000","The artist's estate.
Ernst Schwitters, Lysaker, by descent from the artist in 1948.
Galerie d’Art Moderne, Basel, by whom acquired in 1956.
Kornfeld & Klipstein, Bern, 1956.
Fine Art Associates [Otto Gerson Gallery], New York.
McCrory Corporation, New York.
Mr & Mrs James W. Alsdorf, Chicago, by 1961.
Galerie Gmurzynska, Cologne.
Viktor & Marianne Langen, Meerbusch, by whom acquired in 1981, and thence by descent to the present owners.","
signed and dated 'Kurt Schwitters 1920.' (lower left); signed, dated and inscribed 'Kurt Schwitters 1920 Ja, Was? = Bild' (on the reverse)
",-,"oil, paper, corrugated card, cardboard, fabric, wood and nails on board; in the artist's frame",1920,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0008_000(kurt_schwitters_ja_-_was_-_bild).jpg,https://www.christies.com/lotfinder/paintings/kurt-schwitters-ja-was-bild-5812198-details.aspx?from=searchresults&intObjectID=5812198,1
Cui Ruzhuo,Landscape in snow,04.07.2014,"23,725,710",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,MarlonREPEAT SALE,11.14.2012,"23,714,500",104.2 x 117.1 cm,Post-War & Contemporary Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Eric Emerson, New York
Frederick W. Hughes, New York
Galerie Bischofberger, Zurich
Anon. sale; Sotheby's, New York, 19 November 1997, lot 46
Mugrabi Collection, New York
Anon. sale; Christie's, New York, 14 May 2003, lot 16
Acquired at the above sale by the present owner 
","
signed and inscribed 'To Eric Andy' (on the overlap) 
","
Mugrabi Collection, New York
",silkscreen ink on canvas ,1966,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0014_000(andy_warhol_marlon).jpg,https://www.christies.com/lotfinder/paintings/andy-warhol-marlon-5621924-details.aspx?from=searchresults&intObjectID=5621924,1
Christopher Wool,If YouREPEAT SALE,05.13.2014,"23,685,000",274.3 x 182.8 cm,Post-War and Contemporary Evening Sale,"USD 20,000,000 - USD 30,000,000","Luhring Augustine Gallery, New York
Private collection, Midwest
Anon. sale; Phillips, New York, 13 November 2000, lot 17
Acquired at the above sale by the present owner 
","
signed, titled, numbered and dated 'IF YOU (W33) WOOL 1992' (on the reverse)
","
Private collection, Midwest
",enamel on aluminum ,1992,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0017_000(christopher_wool_if_you).jpg,https://www.christies.com/lotfinder/paintings/christopher-wool-if-you-5792515-details.aspx?from=searchresults&intObjectID=5792515,1
Jean-Michel Basquiat,Undiscovered genius of the Mississippi DeltaREPEAT SALE,05.14.2014,"23,685,000",-,-,-,-,-,-,-,-,-,-,0
Roy Lichtenstein,Nude with Yellow Flower,05.15.2013,"23,643,750",233 x 183 cm,Post-War & Contemporary Evening Sale,"USD 12,000,000 - USD 16,000,000","Leo Castelli Gallery, New York
Stefan T. Edlis Collection, Chicago
Mitchell-Innes & Nash, New York
Thomas Gibson Fine Art Ltd., London
Acquired from the above by the present owner
","
signed and dated 'rf Lichtenstein '94' (on the reverse)
","
Stefan T. Edlis Collection, Chicago
",oil and Magna on canvas ,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0049_000(roy_lichtenstein_nude_with_yellow_flower).jpg,https://www.christies.com/lotfinder/paintings/roy-lichtenstein-nude-with-yellow-flower-5684085-details.aspx?from=searchresults&intObjectID=5684085,1
Gustav Klimt,Schloss Kammer am Attersee IIREPEAT SALE,10.09.1997,"23,562,388",110 x 110 cm,German and Austrian Art '97,,"Dr. Hermann Eissler, Vienna, by 1910.
Hans Böhler, Vienna, by 1920.
Friederike Beer-Monti, Vienna and New York (by whom lent periodically to the Österreichische Galerie, Vienna).
Galerie St. Etienne, New York.
Victor Gruen, Beverly Hills, by 1965. 
","
signed 'GUSTAV KLIMT' (lower right) 
",-,oil on canvas ,1909,-,https://www.christies.com/lotfinder/lot/gustav-klimt-schloss-kammer-am-attersee-ii-205113-details.aspx?from=searchresults&intObjectID=205113,1
Andy Warhol,LizREPEAT SALE,11.13.2007,"23,561,000",-,-,-,-,-,-,-,-,-,-,0
