Author,Art,Sale date,Price,Genre,Style,Image,Dimensions,Media,Location,Found,Url
Andy Warhol,Double Elvis,11.13.2007,"15,721,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Double Elvis
,Kerze,02.27.2008,"15,709,014",,,,,,,0,https://www.wikiart.org/en/Search/ Kerze
Roy Lichtenstein,Sinking Sun,05.10.2006,"15,696,000",,,,,,,0,https://www.wikiart.org/en/Search/Roy Lichtenstein Sinking Sun
Willem de Kooning,Untitled XVI,05.10.2006,"15,696,000",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Untitled XVI
Andy Warhol,Sixteen Jackies,11.15.2006,"15,696,000",portrait,Pop Art,https://uploads7.wikiart.org/images/andy-warhol/sixteen-jackies.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Andy Warhol Sixteen Jackies
,Abstraktes Bild,02.14.2012,"15,626,768",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Amedeo Modigliani,Fillette assise en robe,11.09.2000,"15,625,750",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Fillette assise en robe
Willem de Kooning,Woman,11.20.1996,"15,622,500",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Woman
Lucian Freud,Bruce Bernard,06.20.2007,"15,607,602",portrait,Expressionism,https://uploads6.wikiart.org/images/lucian-freud/bruce-bernard.jpg!Large.jpg,,"oil, canvas",,1,https://www.wikiart.org/en/Search/Lucian Freud Bruce Bernard
Lucio Fontana,"Concetto spaziale, La fine di Dio",10.19.2008,"15,570,362",,,,,,,0,"https://www.wikiart.org/en/Search/Lucio Fontana Concetto spaziale, La fine di Dio"
Pablo Picasso,Tête de femme,06.25.2008,"15,501,631",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Tête de femme
Norman Rockwell,Breaking Home Ties,11.29.2006,"15,416,000",genre painting,Regionalism,https://uploads1.wikiart.org/images/norman-rockwell/breaking-home-ties-1954.jpg!Large.jpg,,"oil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Norman Rockwell Breaking Home Ties
Pablo Picasso,La cage d′oiseaux,11.10.1988,"15,400,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso La cage d′oiseaux
Claude Monet,L′Embarcadère,02.03.2015,"15,399,760",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet L′Embarcadère
Cy Twombly,Untitled,05.14.2013,"15,397,000",abstract,Abstract Expressionism,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,256 x 307 cm,"crayon, oil, pencil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Cy Twombly Untitled
Alberto Giacometti,Femme de Venise II,06.24.2014,"15,393,048",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Femme de Venise II
,Abstraktes Bild,11.14.2012,"15,314,500",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Francis Bacon,Study for a Head,02.11.2015,"15,312,942",,,https://uploads5.wikiart.org/00108/images/francis-bacon/1x-1-1.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Francis Bacon Study for a Head
