Author,Art,Sale date,Price,Genre,Style,Image,Dimensions,Media,Location,Found,Url
Pierre-Auguste Renoir,Les deux soeurs,02.05.2007,"13,475,143",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir Les deux soeurs
Pablo Picasso,Tête et main de femme,05.04.2005,"13,456,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Tête et main de femme
Pablo Picasso,Plant de tomates,11.08.2006,"13,456,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Plant de tomates
Pablo Picasso,Femme assise,06.20.2012,"13,423,471",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Femme assise
Pablo Picasso,Tête,02.03.2015,"13,376,368",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Tête
Pablo Picasso,Mousquetaire et nu assis,06.18.2007,"13,322,958",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Mousquetaire et nu assis
Francis Bacon,Crouching nude,06.29.2011,"13,310,974",nude painting (nu),Expressionism,https://uploads7.wikiart.org/images/francis-bacon/crouching-nude-1961(1).jpg!Large.jpg,198 x 147 cm,"oil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Francis Bacon Crouching nude
Vincent van Gogh,Parc de l′hôpital Saint-Paul,06.23.2010,"13,302,947",,,,,,,0,https://www.wikiart.org/en/Search/Vincent van Gogh Parc de l′hôpital Saint-Paul
Qi Baishi,Ode to the morher country,12.03.2012,"13,286,904",,,,,,,0,https://www.wikiart.org/en/Search/Qi Baishi Ode to the morher country
Lucio Fontana,"Concetto spaziale, Attesa",02.06.2008,"13,279,459",,,,,,,0,"https://www.wikiart.org/en/Search/Lucio Fontana Concetto spaziale, Attesa"
Joan Miró,Femme rêvant de l�évasion,02.05.2013,"13,270,489",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Femme rêvant de l�évasion
,Matrosen,11.09.2010,"13,242,500",,,,,,,0,https://www.wikiart.org/en/Search/ Matrosen
Rembrandt Harmensz van Rijn,A man in a gorget and cap,07.03.2012,"13,234,192",,,,,,,0,https://www.wikiart.org/en/Search/Rembrandt Harmensz van Rijn A man in a gorget and cap
Alberto Giacometti,La forêt,05.07.2002,"13,209,500",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti La forêt
Willem de Kooning,Orestes,11.12.2002,"13,209,500",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Orestes
Claude Monet,Antibes vue de la salis,02.03.2015,"13,207,752",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Antibes vue de la salis
Vincent van Gogh,Jeune homme à la casquette,05.11.1995,"13,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Vincent van Gogh Jeune homme à la casquette
Claude Monet,Le jardin de l′artiste a Vetheuil,11.13.1996,"13,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Le jardin de l′artiste a Vetheuil
Claude Monet,Nymphéas,11.13.1996,"13,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Nymphéas
Pierre-Auguste Renoir,La Liseuse,05.07.2001,"13,202,500",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir La Liseuse
,Abstraktes Bild,02.13.2013,"13,202,115",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
George Stubbs,Tygers at play,07.09.2014,"13,185,991",,,,,,,0,https://www.wikiart.org/en/Search/George Stubbs Tygers at play
Willem de Kooning,Sail Cloth,05.11.2005,"13,120,000",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Sail Cloth
Qian Long,An old cypress,12.04.2010,"13,112,195",,,,,,,0,https://www.wikiart.org/en/Search/Qian Long An old cypress
Wu Zuoren,The yellow blooms on the battlefield smell sweeter,05.10.2013,"13,102,000",,,,,,,0,https://www.wikiart.org/en/Search/Wu Zuoren The yellow blooms on the battlefield smell sweeter
Joan Miró,Le coq,06.18.2007,"13,101,568",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Le coq
Pablo Picasso,Buste de femme,11.07.2012,"13,074,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Buste de femme
Andy Warhol,Mercedes-Benz W 196 R Grand Prix Car,11.12.2013,"13,045,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Mercedes-Benz W 196 R Grand Prix Car
Pablo Picasso,Deux femmes et enfant,05.06.2014,"13,045,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Deux femmes et enfant
Alberto Giacometti,La place,05.07.2014,"13,045,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti La place
Claude Monet,L′entrée de Giverny en hiver,02.08.2012,"13,009,550",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet L′entrée de Giverny en hiver
Marc Chagall,Les trois acrobates,05.08.2013,"13,003,750",,,,,,,0,https://www.wikiart.org/en/Search/Marc Chagall Les trois acrobates
Henri de Toulouse-Lautrec,"Fille a la fourrure, mademoiselle Jeanne Fontaine",05.15.1990,"12,980,000",,,,,,,0,"https://www.wikiart.org/en/Search/Henri de Toulouse-Lautrec Fille a la fourrure, mademoiselle Jeanne Fontaine"
,The Temple of Jupiter Panellenius Restored,01.29.2009,"12,962,500",,,,,,,0,https://www.wikiart.org/en/Search/ The Temple of Jupiter Panellenius Restored
,Zwei Kerzen,11.10.2010,"12,962,500",,,,,,,0,https://www.wikiart.org/en/Search/ Zwei Kerzen
Fra Bartolommeo,The Madonna and Child,01.30.2013,"12,962,500",,,,,,,0,https://www.wikiart.org/en/Search/Fra Bartolommeo The Madonna and Child
René Magritte,Le beau monde,02.05.2014,"12,920,013",,,,,,,0,https://www.wikiart.org/en/Search/René Magritte Le beau monde
Ernst Ludwig Kirchner,Dodo mit grossem Fächer,05.09.2007,"12,920,000",,,,,,,0,https://www.wikiart.org/en/Search/Ernst Ludwig Kirchner Dodo mit grossem Fächer
Pablo Picasso,"Tête de femme, Jacqueline",02.02.2010,"12,916,526",,,,,,,0,"https://www.wikiart.org/en/Search/Pablo Picasso Tête de femme, Jacqueline"
Henri Matisse,Figure décorative,11.07.2006,"12,896,000",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse Figure décorative
Pablo Picasso,Femmes à la fontaine,11.08.2006,"12,896,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Femmes à la fontaine
Canaletto,"The Molo, Venice, from the Bacino di San Marco",07.02.2013,"12,876,435",,,,,,,0,"https://www.wikiart.org/en/Search/Canaletto The Molo, Venice, from the Bacino di San Marco"
,Abstraktes Bild,02.12.2013,"12,846,624",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Jean-Michel Basquiat,Palm Springs Jump,02.06.2008,"12,838,157",,,,,,,0,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Palm Springs Jump
Bernardo Bellotto,Rome: The Forum with the Temple of Castor and Pollux; and The Temple of Antoninus and Faustina in the Forum ,12.07.2006,"12,814,831",,,,,,,0,https://www.wikiart.org/en/Search/Bernardo Bellotto Rome: The Forum with the Temple of Castor and Pollux; and The Temple of Antoninus and Faustina in the Forum 
Lucio Fontana,"Concetto spaziale, attese",02.10.2015,"12,768,454",,,,,,,0,"https://www.wikiart.org/en/Search/Lucio Fontana Concetto spaziale, attese"
Jean-Michel Basquiat,Irony of Negro Policeman,06.28.2012,"12,737,263",figurative,Neo-Expressionism,https://uploads8.wikiart.org/images/jean-michel-basquiat/ironew-york-of-the-negro-policeman.jpg!Large.jpg,183 x 122 cm,"acrylic, crayon, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Irony of Negro Policeman
Alberto Giacometti,Femme de Venise IV,05.06.2014,"12,709,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Femme de Venise IV
Constantin Brancusi,Prométhée,05.02.2012,"12,682,500",,,,,,,0,https://www.wikiart.org/en/Search/Constantin Brancusi Prométhée
Paul Gauguin,Incantation,06.23.2003,"12,679,421",,,,,,,0,https://www.wikiart.org/en/Search/Paul Gauguin Incantation
René Magritte,L′Empire des lumières,05.07.2002,"12,659,500",,,,,,,0,https://www.wikiart.org/en/Search/René Magritte L′Empire des lumières
Rembrandt Harmensz van Rijn,Portrait of a bearded man in a red doublet,01.26.2001,"12,656,000",,,,,,,0,https://www.wikiart.org/en/Search/Rembrandt Harmensz van Rijn Portrait of a bearded man in a red doublet
Joan Miró,Portrait de Mme K.,11.06.2001,"12,656,000",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Portrait de Mme K.
Henri Matisse,Figure decorative,05.10.2001,"12,655,750",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse Figure decorative
Paul Cézanne,Les toits de l′Estaque,05.12.1997,"12,652,500",,,,,,,0,https://www.wikiart.org/en/Search/Paul Cézanne Les toits de l′Estaque
Paul Cézanne,Compotier et assiette de biscuits,11.06.2007,"12,641,000",,,,,,,0,https://www.wikiart.org/en/Search/Paul Cézanne Compotier et assiette de biscuits
Andy Warhol,Liz,05.10.2005,"12,616,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Liz
Wassily Kandinsky,Schwarz und Violett,11.05.2013,"12,597,000",,,,,,,0,https://www.wikiart.org/en/Search/Wassily Kandinsky Schwarz und Violett
Joan Miró,Le serpent à coquelicots traînant sur un champ de violettes peuplé par des lézards en deuil,05.06.2014,"12,485,000",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Le serpent à coquelicots traînant sur un champ de violettes peuplé par des lézards en deuil
Thomas Moran,The Grand Canyon of the Colorado,05.22.2014,"12,485,000",,,,,,,0,https://www.wikiart.org/en/Search/Thomas Moran The Grand Canyon of the Colorado
Andy Warhol,Mao,02.12.2014,"12,466,895",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Mao
Edgar Degas,La Sortie du bain,06.19.2006,"12,454,874",,,,,,,0,https://www.wikiart.org/en/Search/Edgar Degas La Sortie du bain
Amedeo Modigliani,Nu assis au collier,05.10.1995,"12,432,500",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Nu assis au collier
Yves Klein,Anthropométrie Le buffle,05.11.2010,"12,402,500",,,,,,,0,https://www.wikiart.org/en/Search/Yves Klein Anthropométrie Le buffle
Willem de Kooning,Untitled VI,05.10.2012,"12,402,500",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Untitled VI
Constantin Brancusi,Une muse,11.07.2012,"12,402,500",,,,,,,0,https://www.wikiart.org/en/Search/Constantin Brancusi Une muse
,Kegel,11.15.2012,"12,402,500",,,,,,,0,https://www.wikiart.org/en/Search/ Kegel
Andy Warhol,Nine Jackies,11.15.2012,"12,402,500",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Nine Jackies
Egon Schiele,Liebespaar,02.05.2013,"12,390,113",,,,,,,0,https://www.wikiart.org/en/Search/Egon Schiele Liebespaar
Henri Matisse,"Femme a L′Ombrelle rouge, assise de profil",10.18.1989,"12,375,000",,,,,,,0,"https://www.wikiart.org/en/Search/Henri Matisse Femme a L′Ombrelle rouge, assise de profil"
Paul Gauguin,Nature morte aux fruits et piments,11.06.2007,"12,361,000",,,,,,,0,https://www.wikiart.org/en/Search/Paul Gauguin Nature morte aux fruits et piments
Andy Warhol,Self-Portrait,11.14.2007,"12,361,000",self-portrait,Pop Art,https://uploads4.wikiart.org/images/andy-warhol/self-portrait.jpg,,silkscreen,,1,https://www.wikiart.org/en/Search/Andy Warhol Self-Portrait
Pablo Picasso,"Partition, Guitare, Compotier",05.06.2008,"12,361,000",,,,,,,0,"https://www.wikiart.org/en/Search/Pablo Picasso Partition, Guitare, Compotier"
Fernand Léger,Les maisons dans les arbres,02.06.2007,"12,346,792",,,,,,,0,https://www.wikiart.org/en/Search/Fernand Léger Les maisons dans les arbres
Michelangelo,The Risen Christ,07.04.2000,"12,320,348",sketch and study,High Renaissance,https://uploads0.wikiart.org/images/michelangelo/the-risen-christ.jpg!Large.jpg,36.7 x 22 cm,"chalk, paper",,1,https://www.wikiart.org/en/Search/Michelangelo The Risen Christ
Pierre-Auguste Renoir,Femmes dans un jardin,11.07.2007,"12,249,000",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir Femmes dans un jardin
Edgar Degas,"Après le bain, femme s�essuyant",02.05.2013,"12,214,038",,,,,,,0,"https://www.wikiart.org/en/Search/Edgar Degas Après le bain, femme s�essuyant"
Mark Rothko,Untitled,05.14.2014,"12,205,000",,,,,,,0,https://www.wikiart.org/en/Search/Mark Rothko Untitled
Pablo Picasso,Femme au béret orange et au col de fourrure,11.05.2013,"12,149,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Femme au béret orange et au col de fourrure
Zhang Xiaogang,Bloodline: Big family no. 3,04.05.2014,"12,144,809",,,,,,,0,https://www.wikiart.org/en/Search/Zhang Xiaogang Bloodline: Big family no. 3
Claude Monet,Champ de blé,11.08.2012,"12,122,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Champ de blé
Claude Monet,"La Cathédrale de Rouen, effet d′après-midi",06.26.1995,"12,107,656",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet La Cathédrale de Rouen, effet d′après-midi"
Pablo Picasso,Garçon à la collerette,11.07.1995,"12,102,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Garçon à la collerette
Claude Monet,Le Grand Canal,05.13.1998,"12,102,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Le Grand Canal
Claude Monet,Le bassin aux nymphéas,11.11.1992,"12,100,000",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Le bassin aux nymphéas
Mark Rothko,Untitled,11.14.2007,"12,081,000",abstract,Abstract Expressionism,https://uploads1.wikiart.org/images/mark-rothko/not_detected_242115.jpg,126 x 152 cm,,,1,https://www.wikiart.org/en/Search/Mark Rothko Untitled
Willem de Kooning,Untitled IV,05.13.2008,"12,081,000",,,,,,,0,https://www.wikiart.org/en/Search/Willem de Kooning Untitled IV
Nikolai Konstantinovich Roerich,Madonna Laboris,06.05.2013,"12,065,406",,,,,,,0,https://www.wikiart.org/en/Search/Nikolai Konstantinovich Roerich Madonna Laboris
Attributed To Aqa Mirak,Faridun in the guise of a dragon tests his sons,04.06.2011,"12,039,635",,,,,,,0,https://www.wikiart.org/en/Search/Attributed To Aqa Mirak Faridun in the guise of a dragon tests his sons
Jean-Michel Basquiat,Untitled,11.12.2013,"12,037,000",figurative,Neo-Expressionism,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,186.1 x 125.1 cm,,Private Collection,1,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Untitled
Pablo Picasso,Mère et enfant,05.11.1995,"11,992,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Mère et enfant
Claude Monet,Meule,05.11.1999,"11,992,500",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Meule
Peter Doig,The Architect′s Home in the Ravine,02.13.2013,"11,975,939",,,,,,,0,https://www.wikiart.org/en/Search/Peter Doig The Architect′s Home in the Ravine
,Wolke,02.12.2013,"11,965,128",,,,,,,0,https://www.wikiart.org/en/Search/ Wolke
Peter Doig,Road House,05.12.2014,"11,925,000",,,,,,,0,https://www.wikiart.org/en/Search/Peter Doig Road House
Joan Mitchell,Untitled,05.13.2014,"11,925,000",abstract,Abstract Expressionism,https://uploads7.wikiart.org/images/joan-mitchell/untitled-1951.jpg!Large.jpg,165.1 x 175.3 cm,oil,,1,https://www.wikiart.org/en/Search/Joan Mitchell Untitled
Amedeo Modigliani,Jeune fille au béret,02.06.2007,"11,907,236",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Jeune fille au béret
Edgar Degas,Petite danseuse de quatorze ans,11.12.1996,"11,882,500",,,,,,,0,https://www.wikiart.org/en/Search/Edgar Degas Petite danseuse de quatorze ans
Auguste Rodin,Le Penseur. Taille de la Porte dit Moyen modèle,05.05.2010,"11,842,500",,,,,,,0,https://www.wikiart.org/en/Search/Auguste Rodin Le Penseur. Taille de la Porte dit Moyen modèle
Roy Lichtenstein,Sailboats III,05.09.2012,"11,842,500",,,,,,,0,https://www.wikiart.org/en/Search/Roy Lichtenstein Sailboats III
Pablo Picasso,La statuaire,11.10.1999,"11,827,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso La statuaire
Fernand Léger,"Etude pour les constructeurs, fond bleu",11.06.2007,"11,801,000",,,,,,,0,"https://www.wikiart.org/en/Search/Fernand Léger Etude pour les constructeurs, fond bleu"
Pablo Picasso,Homme à la pipe,11.07.2007,"11,801,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Homme à la pipe
Jeff Koons,Diamond,11.13.2007,"11,801,000",,,,,,,0,https://www.wikiart.org/en/Search/Jeff Koons Diamond
Jean-Michel Basquiat,Untitled,11.14.2007,"11,801,000",figurative,Neo-Expressionism,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,186.1 x 125.1 cm,,Private Collection,1,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Untitled
Jeff Koons,"New Hoover Convertibles, New Shelton Wet/Drys 5-Gallon, Double Decker",05.13.2008,"11,801,000",,,,,,,0,"https://www.wikiart.org/en/Search/Jeff Koons New Hoover Convertibles, New Shelton Wet/Drys 5-Gallon, Double Decker"
Paul Cézanne,Les grands arbres au Jas de Bouffan,05.04.2005,"11,776,000",,,,,,,0,https://www.wikiart.org/en/Search/Paul Cézanne Les grands arbres au Jas de Bouffan
Andy Warhol,Small Torn Campbell′s Soup Can,05.09.2006,"11,776,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Small Torn Campbell′s Soup Can
Pablo Picasso,Nu accroupi,05.06.2004,"11,768,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Nu accroupi
Vincent van Gogh,L′allée des Alyscamps,11.04.2003,"11,767,500",,,,,,,0,https://www.wikiart.org/en/Search/Vincent van Gogh L′allée des Alyscamps
Wu Guanzhong,Former residence if Qiu Jin,12.03.2011,"11,754,068",,,,,,,0,https://www.wikiart.org/en/Search/Wu Guanzhong Former residence if Qiu Jin
Chaïm Soutine,Le valet de chambre,06.22.2010,"11,693,411",,,,,,,0,https://www.wikiart.org/en/Search/Chaïm Soutine Le valet de chambre
Georges Seurat,"étude pour une baignade, Asnières",02.03.2015,"11,690,208",,,,,,,0,"https://www.wikiart.org/en/Search/Georges Seurat étude pour une baignade, Asnières"
Claude Monet,Nymphéas,05.06.2008,"11,689,000",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Nymphéas
Paul Signac,Arrière du Tub,05.09.2007,"11,688,000",,,,,,,0,https://www.wikiart.org/en/Search/Paul Signac Arrière du Tub
Gustav Klimt,Dame mit facher,05.11.1994,"11,662,500",,,,,,,0,https://www.wikiart.org/en/Search/Gustav Klimt Dame mit facher
Jackson Pollock,"Number 12, 1949",05.11.2004,"11,655,500",,,,,,,0,"https://www.wikiart.org/en/Search/Jackson Pollock Number 12, 1949"
Jan Brueghel the Elder,The Garden of Eden with the fall of man,07.09.2014,"11,651,322",,,,,,,0,https://www.wikiart.org/en/Search/Jan Brueghel the Elder The Garden of Eden with the fall of man
Andy Warhol,Brigitte Bardot,11.11.2014,"11,645,000",portrait,Pop Art,https://uploads7.wikiart.org/00283/images/andy-warhol/brigitte-bardot-1974.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Andy Warhol Brigitte Bardot
Tang Yin,Landscape,06.03.2013,"11,622,978",,,,,,,0,https://www.wikiart.org/en/Search/Tang Yin Landscape
Zhang Daqian,Lady red whisk,05.10.2013,"11,604,628",,,,,,,0,https://www.wikiart.org/en/Search/Zhang Daqian Lady red whisk
,Abstraktes Bild,02.15.2011,"11,595,358",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Domenico Gnoli,Black Hair,02.13.2014,"11,594,428",figurative,Surrealism,https://uploads0.wikiart.org/images/domenico-gnoli/black-hair-1969.jpg,,,,1,https://www.wikiart.org/en/Search/Domenico Gnoli Black Hair
Ernst Ludwig Kirchner,Das boskett: Albertplatz in Dresden,02.08.2012,"11,591,003",,,,,,,0,https://www.wikiart.org/en/Search/Ernst Ludwig Kirchner Das boskett: Albertplatz in Dresden
Pierre Bonnard,Terrasse à Vernon,02.09.2011,"11,590,311",,,,,,,0,https://www.wikiart.org/en/Search/Pierre Bonnard Terrasse à Vernon
Jeff Koons,Aqualung,05.12.2014,"11,589,000",,,,,,,0,https://www.wikiart.org/en/Search/Jeff Koons Aqualung
Henri Matisse,L′artiste et le modèle nu,06.24.2014,"11,579,896",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse L′artiste et le modèle nu
,Portrait d′Alfred et Elisabeth Dedreux,02.23.2009,"11,576,368",,,,,,,0,https://www.wikiart.org/en/Search/ Portrait d′Alfred et Elisabeth Dedreux
Paul Cézanne,Le château noir,11.19.1998,"11,552,500",,,,,,,0,https://www.wikiart.org/en/Search/Paul Cézanne Le château noir
Jackson Pollock,"Number 8, 1950",05.02.1989,"11,550,000",,,,,,,0,"https://www.wikiart.org/en/Search/Jackson Pollock Number 8, 1950"
Vincent van Gogh,Carriere pres de Saint-Remy,11.15.1989,"11,550,000",,,,,,,0,https://www.wikiart.org/en/Search/Vincent van Gogh Carriere pres de Saint-Remy
Edgar Degas,Petite danseuse de quatorze ans,06.27.2000,"11,530,460",,,,,,,0,https://www.wikiart.org/en/Search/Edgar Degas Petite danseuse de quatorze ans
Pablo Picasso,Homme à lépée,06.24.2009,"11,524,964",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Homme à lépée
Pablo Picasso,Nu accroupi,02.06.2013,"11,516,326",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Nu accroupi
Alberto Giacometti,Trois hommes qui marchent I,11.06.2008,"11,506,500",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Trois hommes qui marchent I
Giacomo Balla,Automobile in Corsa,11.06.2013,"11,477,000",,,,,,,0,https://www.wikiart.org/en/Search/Giacomo Balla Automobile in Corsa
Marc Chagall,Le violoncelliste,02.05.2014,"11,458,816",,,,,,,0,https://www.wikiart.org/en/Search/Marc Chagall Le violoncelliste
Leonardo da Vinci,Horse and rider,07.10.2001,"11,458,773",,,,,,,0,https://www.wikiart.org/en/Search/Leonardo da Vinci Horse and rider
Andrea del Sarto,"Head of Saint Joseph looking down, with a subsidiary study of his features",07.05.2005,"11,436,610",,,,,,,0,"https://www.wikiart.org/en/Search/Andrea del Sarto Head of Saint Joseph looking down, with a subsidiary study of his features"
Amedeo Modigliani,Les deux filles,02.04.2015,"11,431,338",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Les deux filles
Pompeo Girolamo Batoni,Susanna and the Elders,01.31.2013,"11,394,500",,,,,,,0,https://www.wikiart.org/en/Search/Pompeo Girolamo Batoni Susanna and the Elders
Rembrandt Harmensz van Rijn,Self-portrait with shaded eyes,07.10.2003,"11,381,592",,,,,,,0,https://www.wikiart.org/en/Search/Rembrandt Harmensz van Rijn Self-portrait with shaded eyes
Andy Warhol,Flowers,11.13.2013,"11,365,000",flower painting,Pop Art,https://uploads7.wikiart.org/images/andy-warhol/flowers.jpg,,,,1,https://www.wikiart.org/en/Search/Andy Warhol Flowers
Pierre-Auguste Renoir,Jeunes filles jouant au volant,05.06.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir Jeunes filles jouant au volant
Jackson Pollock,"Number 5, 1951 Elegant Lady"";1951""",05.13.2014,"11,365,000",,,,,,,0,"https://www.wikiart.org/en/Search/Jackson Pollock Number 5, 1951 Elegant Lady"";1951"""
Andy Warhol,12 Mona Lisas,05.14.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol 12 Mona Lisas
Jean-Michel Basquiat and Andy Warhol,Zenith,05.15.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Jean-Michel Basquiat and Andy Warhol Zenith
Pablo Picasso,Homme assis,11.04.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Homme assis
Andy Warhol,Self-portrait,11.11.2014,"11,365,000",self-portrait,Pop Art,https://uploads4.wikiart.org/images/andy-warhol/self-portrait.jpg,,silkscreen,,1,https://www.wikiart.org/en/Search/Andy Warhol Self-portrait
Andy Warhol,Self-Portrait,11.12.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Self-Portrait
Andy Warhol,Five Deaths on Orange,11.12.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Five Deaths on Orange
Robert Ryman,Link,11.12.2014,"11,365,000",,,,,,,0,https://www.wikiart.org/en/Search/Robert Ryman Link
Edouard Manet,Bouquet de pivoines,06.22.2010,"11,361,062",,,,,,,0,https://www.wikiart.org/en/Search/Edouard Manet Bouquet de pivoines
Egon Schiele,Selbstbildnis mit Kariertem Hemd,11.07.2007,"11,353,000",,,,,,,0,https://www.wikiart.org/en/Search/Egon Schiele Selbstbildnis mit Kariertem Hemd
Amedeo Modigliani,Garçon à la veste bleue,06.21.2004,"11,333,824",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Garçon à la veste bleue
Egon Schiele,Selbstbildnis mit Modell,05.08.2013,"11,323,750",,,,,,,0,https://www.wikiart.org/en/Search/Egon Schiele Selbstbildnis mit Modell
René Magritte,Les jours gigantesques,06.20.2012,"11,314,197",,,,,,,0,https://www.wikiart.org/en/Search/René Magritte Les jours gigantesques
Egon Schiele,Porträt des Malers Anton Peschka,02.05.2001,"11,312,041",,,,,,,0,https://www.wikiart.org/en/Search/Egon Schiele Porträt des Malers Anton Peschka
Kees van Dongen,La gitane,02.02.2010,"11,310,178",,,,,,,0,https://www.wikiart.org/en/Search/Kees van Dongen La gitane
Claude Monet,"Santa Maria della salute et le grand canal, Venise",04.04.1989,"11,309,624",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet Santa Maria della salute et le grand canal, Venise"
Peter Doig,Jetty,06.25.2013,"11,302,082",landscape,Magic Realism,https://uploads1.wikiart.org/images/peter-doig/jetty-1994.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Peter Doig Jetty
,Abstraktes Bild,11.09.2010,"11,282,500",,,,,,,0,https://www.wikiart.org/en/Search/ Abstraktes Bild
Paul Gauguin,Jeune tahitienne,05.03.2011,"11,282,500",,,,,,,0,https://www.wikiart.org/en/Search/Paul Gauguin Jeune tahitienne
Alexej Jawlensky,Frau mit grünem Fächer,05.03.2011,"11,282,500",,,,,,,0,https://www.wikiart.org/en/Search/Alexej Jawlensky Frau mit grünem Fächer
Alberto Giacometti,La Jambe,11.07.2012,"11,282,500",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti La Jambe
Pablo Picasso,Femme au chapeau,02.04.2008,"11,268,375",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Femme au chapeau
Peter Doig,White Canoe,02.07.2007,"11,259,368",landscape,Magic Realism,https://uploads7.wikiart.org/images/peter-doig/white-canoe-1991.jpg!Large.jpg,,,,1,https://www.wikiart.org/en/Search/Peter Doig White Canoe
Canaletto,Le retour du bucentaure le jour de l′ascension,12.15.1993,"11,259,300",,,,,,,0,https://www.wikiart.org/en/Search/Canaletto Le retour du bucentaure le jour de l′ascension
Alberto Giacometti,Annette au manteau,11.06.2007,"11,241,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Annette au manteau
,Düsenjäger,11.13.2007,"11,241,000",,,,,,,0,https://www.wikiart.org/en/Search/ Düsenjäger
